symbol,hv20,hv50,hv100,date,cur_iv,days_percentile,close
@GCU,9,554,392,230821,15.12,588/ 17%ile,1911.90
@GCV,8,9,11,230825,11.29,592/  0%ile,1921.30
@GCZ,8,9,11,230825,13.14,592/  3%ile,1939.90
@HGF,18,18,19,230825,22.66,593/  0%ile,379.15
@HGG,18,18,19,230825,22.22,588/  0%ile,379.95
@HGH,18,17,19,230825,21.69,590/  0%ile,380.35
@HGJ,18,17,19,230825,22.25,588/  0%ile,381.05
@HGK,17,17,19,230825,22.08,588/  1%ile,381.45
@HGM,17,17,19,230825,125.37,588/ 83%ile,38.21
@HGN,17,18,19,230825,23.45,588/  3%ile,382.30
@HGQ,19,19,20,230719,27.31,588/ 26%ile,390.60
@HGU,20,19,20,230821,17.81,588/  0%ile,376.20
@HGV,19,18,19,230825,19.67,592/  0%ile,377.40
@HGX,19,18,19,230825,109.23,592/ 78%ile,37.79
@HGZ,19,18,19,230825,21.32,592/  0%ile,378.40
@HOF,20,23,25,230825,34.49,593/ 43%ile,294.54
@HOG,18,22,24,230825,33.80,588/ 38%ile,288.96
@HOH,17,21,24,230825,33.36,590/ 38%ile,283.06
@HOJ,16,21,29,230825,32.90,588/ 32%ile,276.74
@HOK,15,20,21,230825,32.74,588/ 32%ile,272.71
@HOM,15,14,22,230825,32.31,588/ 25%ile,269.86
@HON,30,28,29,230825,31.62,588/ 15%ile,268.52
@HOQ,3.9,26,28,230719,30.48,588/ 14%ile,277.76
@HOU,30,30,30,230821,38.46,588/ 55%ile,330.75
@HOV,28,28,29,230825,37.00,592/ 52%ile,326.73
@HOX,25,26,27,230825,36.22,592/ 45%ile,315.61
@HOZ,22,24,26,230825,34.43,593/ 41%ile,302.38
@JOF,40,32,31,230825,32.75,588/ 86%ile,305.55
@JOH,38,31,30,230825,32.86,589/ 90%ile,295.60
@JOK,37,30,40,230825,31.74,588/ 84%ile,287.10
@JON,64,45,40,230825,29.92,588/ 73%ile,276.20
@JOU,39,33,32,230811,58.46,588/100%ile,316.85
@JOX,40,32,31,230825,38.03,592/ 93%ile,317.05
@KCH,25,24,27,230825,28.89,588/  1%ile,154.30
@KCK,24,23,28,230825,28.46,588/  1%ile,155.20
@KCN,39,31,32,230825,27.86,588/  1%ile,155.80
@KCU,31,27,29,230804,31.37,588/  3%ile,159.90
@KCZ,26,24,28,230825,31.25,590/  5%ile,153.15
@LCG,8,8,8,230825,11.23,433/ 31%ile,189.20
@LCJ,7,7,9,230825,10.85,444/ 30%ile,192.40
@LCM,7,7,10,230825,11.03,369/ 28%ile,186.45
@LCQ,10,11,11,230728,12.27,447/ 43%ile,178.50
@LCV,11,11,11,230825,10.93,452/ 30%ile,181.18
@LCZ,9,9,10,230825,11.41,452/ 36%ile,185.13
@LHG,23,18,20,230825,24.52,592/ 55%ile,76.38
@LHJ,18,15,35,230825,22.58,588/ 41%ile,81.47
@LHM,12,23,28,230825,19.89,588/ 23%ile,92.63
@LHN,29,25,31,230825,18.98,588/  7%ile,93.00
@LHQ,9,21,28,230807,12.93,588/  0%ile,102.10
@LHV,31,26,27,230825,25.90,591/ 46%ile,79.82
@LHZ,28,22,24,230825,26.43,592/ 65%ile,72.03
@NGF,27,24,25,230825,66.58,590/ 56%ile,3.88
@NGG,25,23,24,230825,68.90,578/ 50%ile,3.80
@NGH,23,22,24,230825,67.94,571/ 48%ile,3.48
@NGJ,21,20,76,230825,52.52,560/ 57%ile,3.15
@NGK,20,19,64,230825,48.68,543/ 54%ile,3.14
@NGM,18,91,75,230825,45.70,520/ 45%ile,3.24
@NGN,85,62,57,230825,43.68,520/ 41%ile,3.35
@NGQ,0.0,44,46,230706,65.00,552/ 80%ile,2.73
@NGU,54,53,50,230809,62.50,565/ 70%ile,2.54
@NGV,50,48,45,230825,66.20,591/ 76%ile,2.66
@NGX,40,37,36,230825,67.21,592/ 72%ile,3.14
@NGZ,32,29,28,230825,64.98,593/ 64%ile,3.63
@NQH,17,16,17,230825,20.61,589/  4%ile,15369.25
@NQM,17,17,17,230825,21.19,586/  5%ile,15574.00
@NQU,17,17,17,230811,40.28,585/ 96%ile,14778.00
@NQZ,17,17,17,230825,22.04,586/ 18%ile,15167.00
@OH,27,31,28,230825,41.62,583/ 81%ile,514.20
@OK,25,30,34,230414,41.52,542/ 77%ile,342.50
@ON,67,51,42,230616,47.56,582/ 95%ile,397.00
